date,沪金,布伦特原油
2019-05-16,292.350000,72.770000
2019-05-17,291.700000,72.170000
2019-05-20,289.400000,72.060000
2019-05-21,289.150000,72.040000
2019-05-22,288.900000,70.910000
2019-05-23,289.350000,68.000000
2019-05-24,291.100000,69.260000
2019-05-27,291.250000,68.680000
2019-05-28,291.000000,68.690000
2019-05-29,291.450000,68.170000
2019-05-30,290.100000,65.210000
2019-05-31,293.450000,61.760000
2019-06-03,296.700000,60.890000
2019-06-04,299.750000,60.930000
2019-06-05,301.700000,59.680000
2019-06-06,301.700000,60.560000
2019-06-07,301.700000,63.320000
2019-06-10,300.850000,62.860000
2019-06-11,299.550000,62.370000
2019-06-12,302.600000,60.860000
2019-06-13,303.200000,61.350000
2019-06-14,307.750000,62.020000
2019-06-17,304.100000,60.930000
2019-06-18,306.150000,62.260000
2019-06-19,304.300000,62.180000
2019-06-20,311.250000,64.660000
2019-06-21,313.600000,65.280000
2019-06-24,315.800000,64.740000
2019-06-25,321.800000,65.070000
2019-06-26,316.400000,65.500000
2019-06-27,315.600000,65.420000
2019-06-28,316.850000,64.500000
2019-07-01,308.850000,65.190000
2019-07-02,312.050000,62.810000
2019-07-03,321.100000,63.830000
2019-07-04,317.650000,63.170000
2019-07-05,318.000000,64.380000
2019-07-08,316.350000,63.880000
2019-07-09,313.450000,64.520000
2019-07-10,313.200000,66.690000
2019-07-11,319.000000,66.780000
2019-07-12,316.650000,66.910000
2019-07-15,317.750000,66.160000
2019-07-16,317.750000,64.350000
2019-07-17,315.800000,63.560000
2019-07-18,319.100000,62.520000
2019-07-19,323.300000,62.500000
2019-07-22,320.650000,63.300000
2019-07-23,318.700000,64.200000
2019-07-24,319.650000,63.100000
2019-07-25,320.300000,62.910000
2019-07-26,319.100000,63.160000
2019-07-29,319.600000,63.720000
2019-07-30,320.850000,64.930000
2019-07-31,322.250000,64.200000
2019-08-01,316.600000,61.020000
2019-08-02,324.250000,61.120000
2019-08-05,334.000000,60.050000
2019-08-06,335.550000,58.600000
2019-08-07,341.800000,57.430000
2019-08-08,344.350000,57.740000
2019-08-09,345.900000,58.380000
2019-08-12,344.250000,58.350000
2019-08-13,352.300000,60.880000
2019-08-14,342.950000,58.950000
2019-08-15,347.400000,58.330000
2019-08-16,347.750000,58.640000
2019-08-19,346.400000,59.710000
2019-08-20,344.750000,60.050000
2019-08-21,345.350000,60.370000
2019-08-22,346.450000,60.050000
2019-08-23,346.250000,58.790000
2019-08-26,358.250000,58.820000
2019-08-27,358.700000,60.050000
2019-08-28,358.850000,59.830000
2019-08-29,362.800000,60.350000
2019-08-30,356.700000,59.130000
2019-09-02,355.800000,58.600000
2019-09-03,357.450000,58.190000
2019-09-04,359.000000,60.430000
2019-09-05,360.900000,60.750000
2019-09-06,349.200000,61.770000
2019-09-09,350.600000,62.620000
2019-09-10,344.850000,62.680000
2019-09-11,345.950000,61.000000
2019-09-12,346.150000,60.440000
2019-09-13,346.150000,60.180000
2019-09-16,346.250000,66.360000
2019-09-17,344.950000,64.140000
2019-09-18,346.500000,62.600000
2019-09-19,346.000000,64.800000
2019-09-20,346.700000,64.430000
2019-09-23,350.300000,63.260000
2019-09-24,352.050000,61.360000
2019-09-25,353.850000,61.560000
2019-09-26,349.550000,61.590000
2019-09-27,346.350000,61.140000
2019-09-30,345.050000,59.380000
2019-10-01,345.050000,59.200000
2019-10-02,345.050000,57.520000
2019-10-03,345.050000,57.590000
2019-10-04,345.050000,58.430000
2019-10-07,345.050000,58.410000
2019-10-08,344.500000,58.120000
2019-10-09,349.500000,58.260000
2019-10-10,347.700000,59.530000
2019-10-11,345.850000,60.600000
2019-10-14,340.700000,59.150000
2019-10-15,341.650000,58.840000
2019-10-16,340.200000,59.050000
2019-10-17,342.700000,59.850000
2019-10-18,342.000000,59.300000
2019-10-21,341.750000,59.060000
2019-10-22,340.450000,59.540000
2019-10-23,341.950000,61.070000
2019-10-24,341.500000,61.390000
2019-10-25,344.650000,61.650000
2019-10-28,344.600000,61.130000
2019-10-29,340.900000,61.250000
2019-10-30,340.550000,60.170000
2019-10-31,341.100000,59.460000
2019-11-01,344.050000,61.520000
2019-11-04,343.700000,62.110000
