日期,index_net
2017-01-09,118.089700
2017-01-10,118.165700
2017-01-11,117.942200
2017-01-12,118.034000
2017-01-13,118.028800
2017-01-16,117.953800
2017-01-17,117.750900
2017-01-18,117.750500
2017-01-19,117.719300
2017-01-20,117.800400
2017-01-22,117.792300
2017-01-23,117.820900
2017-01-24,117.616100
2017-01-25,117.317500
2017-01-26,117.272300
2017-02-03,116.910800
2017-02-04,116.910100
2017-02-06,116.532800
2017-02-07,116.442600
2017-02-08,116.458100
2017-02-09,116.647000
2017-02-10,116.577800
2017-02-13,116.575300
2017-02-14,116.588900
2017-02-15,116.553600
2017-02-16,116.674100
2017-02-17,116.869500
2017-02-20,117.098300
2017-02-21,116.971800
2017-02-22,117.099200
2017-02-23,117.209400
2017-02-24,117.125500
2017-02-27,117.161300
2017-02-28,117.116200
2017-03-01,117.037100
2017-03-02,117.026300
2017-03-03,117.020500
2017-03-06,116.915700
2017-03-07,116.878200
2017-03-08,116.724200
2017-03-09,116.684000
2017-03-10,116.660900
2017-03-13,116.744300
2017-03-14,116.789000
2017-03-15,116.772000
2017-03-16,116.957500
2017-03-17,116.900400
2017-03-20,116.802100
2017-03-21,116.668700
2017-03-22,116.685600
2017-03-23,116.638500
2017-03-24,116.868900
2017-03-27,116.980300
2017-03-28,116.985200
2017-03-29,116.956600
2017-03-30,116.950700
2017-03-31,116.957400
2017-04-01,117.004800
2017-04-05,116.939000
2017-04-06,116.908900
2017-04-07,116.920300
2017-04-10,116.875400
2017-04-11,116.882500
2017-04-12,116.800100
2017-04-13,116.855400
2017-04-14,116.654700
2017-04-17,116.321600
2017-04-18,116.186500
2017-04-19,116.164800
2017-04-20,116.048800
2017-04-21,115.803600
2017-04-24,115.565300
2017-04-25,115.677000
2017-04-26,115.629900
2017-04-27,115.664500
2017-04-28,115.648400
2017-05-02,115.483700
2017-05-03,115.265900
2017-05-04,115.096600
2017-05-05,115.057400
2017-05-08,114.813500
2017-05-09,114.617100
2017-05-10,114.287500
2017-05-11,114.468500
2017-05-12,114.319800
2017-05-15,114.383800
2017-05-16,114.339300
2017-05-17,114.090100
2017-05-18,114.122000
2017-05-19,114.060400
2017-05-22,113.869300
2017-05-23,113.909400
2017-05-24,114.026300
2017-05-25,114.167600
2017-05-26,114.125600
2017-05-27,114.176000
2017-05-31,114.412200
2017-06-01,114.398700
2017-06-02,114.377500
2017-06-05,114.450500
2017-06-06,114.367500
2017-06-07,114.311900
2017-06-08,114.257700
2017-06-09,114.355200
2017-06-12,114.716000
2017-06-13,114.789900
2017-06-14,114.921600
2017-06-15,114.941900
2017-06-16,114.681900
2017-06-19,115.029300
2017-06-20,115.095200
2017-06-21,114.870300
2017-06-22,114.695300
2017-06-23,114.740600
2017-06-26,114.892600
2017-06-27,115.021600
2017-06-28,114.977900
2017-06-29,114.944200
2017-06-30,114.808300
2017-07-03,114.660100
2017-07-04,114.630200
2017-07-05,114.767600
2017-07-06,114.870400
2017-07-07,114.839300
2017-07-10,114.804700
2017-07-11,114.816900
2017-07-12,114.821300
2017-07-13,114.863900
2017-07-14,114.898500
2017-07-17,114.895300
2017-07-18,114.773000
2017-07-19,114.808100
2017-07-20,114.823800
2017-07-21,114.696400
2017-07-24,114.563700
2017-07-25,114.483300
2017-07-26,114.304900
2017-07-27,114.356900
2017-07-28,114.344700
2017-07-31,114.253700
2017-08-01,114.181000
2017-08-02,114.219300
2017-08-03,114.240600
2017-08-04,114.278000
2017-08-07,114.087800
2017-08-08,114.078700
2017-08-09,114.058400
2017-08-10,114.109800
2017-08-11,114.250600
2017-08-14,114.298500
2017-08-15,114.327600
